scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage
BR-06,43,0,39,0,39,0.0,1.0,0,1,0.02389994915574789,True,ADVANCE,8,1601.474805833616,2.6720106880427523
BR-06,44,0,40,0,40,0.0,1.0,0,1,0.0173999578692019,True,ADVANCE,5,1441.9177913467624,2.738810955243821
BR-06,45,0,41,0,41,0.0,1.0,0,1,0.017200014553964138,True,ADVANCE,7,1000.0,2.80561122244489
BR-06,46,0,42,0,42,0.0,1.0,0,1,0.0171000137925148,True,ADVANCE,8,1441.9177913467624,2.8724114896459585
BR-06,47,0,43,0,43,0.0,1.0,0,1,0.017300015315413475,True,ADVANCE,3,1000.0,2.9392117568470275
BR-06,48,0,44,0,44,0.0,1.0,0,1,0.018700025975704193,True,ADVANCE,6,1441.9177913467624,3.006012024048096
BR-06,49,0,45,0,45,0.0,1.0,0,1,0.01999997766688466,True,ADVANCE,7,1800.7374029168082,3.0728122912491647
BR-06,50,0,46,0,46,0.0,1.0,0,1,0.019000028260052204,True,ADVANCE,9,1022.8734649112389,3.139612558450234
BR-06,51,1,46,1,45,1.0,-1.0,1,0,0.019300030544400215,True,ADVANCE,8,1000.0,3.2064128256513023
BR-06,52,1,45,1,45,0.0,-1.0,0,-1,0.01969997538253665,True,ADVANCE,6,1000.0,3.2732130928523713
BR-06,53,1,44,1,44,0.0,-1.0,0,-1,0.020099978428333998,True,ADVANCE,5,1055.6379982778428,3.3400133600534407
BR-06,54,1,43,1,43,0.0,-1.0,0,-1,0.019900035113096237,True,ADVANCE,10,1138.76403372894,3.406813627254509
BR-06,55,1,42,1,42,0.0,-1.0,0,-1,0.019000028260052204,True,ADVANCE,5,1067.381626734864,3.473613894455578
BR-06,56,1,41,1,41,0.0,-1.0,0,-1,0.018799968529492617,True,ADVANCE,5,1000.0,3.5404141616566465
BR-06,57,1,40,1,40,0.0,-1.0,0,-1,0.018499966245144606,True,ADVANCE,8,1000.0,3.6072144288577155
BR-06,58,1,39,1,39,0.0,-1.0,0,-1,0.019599974621087313,True,ADVANCE,11,1470.4832921313127,3.674014696058784
BR-06,59,1,38,1,38,0.0,-1.0,0,-1,0.01910002902150154,True,ADVANCE,9,1441.9177913467624,3.740814963259853
BR-06,60,1,37,1,37,0.0,-1.0,0,-1,0.01829996472224593,True,ADVANCE,6,1011.7436284570214,3.807615230460922
BR-06,61,1,36,1,36,0.0,-1.0,0,-1,0.01899997005239129,True,ADVANCE,10,1018.3156388887342,3.8744154976619907
BR-06,62,1,35,1,35,0.0,-1.0,0,-1,0.0295999925583601,True,ADVANCE,8,1000.0,3.9412157648630597
BR-06,63,1,34,1,34,0.0,-1.0,0,-1,0.01910002902150154,True,ADVANCE,8,1022.8734649112389,4.008016032064128
