scenario,n_frames,total_steps,coverage_percent,coverage_per_step,advance_rate,avg_force_magnitude,max_force_magnitude,total_time_ms,avg_time_ms,max_time_ms,success_rate,wait_count,max_consecutive_waits
BR-06,400,380,22.778891115564463,0.059944450304117006,95.0,2.3766348584864736,10.0,10.492900211829692,0.02623225052957423,0.5378000205382705,95.0,20,1
CN-01,99,87,3.545706371191136,0.04075524564587513,87.87878787878788,4.662616339465286,10.000000000000002,3.430799872148782,0.03465454416311901,0.08109997725114226,87.87878787878788,12,1
