scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage
BR-06,52,1,43,1,43,3,5,0.010100018698722124,1.0,1,True,ADVANCE,6,1000.0,3.3400133600534407
BR-06,53,1,42,1,42,3,5,0.004900037311017513,1.0,1,True,ADVANCE,5,1055.6379982778428,3.406813627254509
BR-06,54,1,41,1,41,3,5,0.004400033503770828,1.0,1,True,ADVANCE,10,1138.76403372894,3.473613894455578
BR-06,55,1,40,1,40,3,5,0.006599992047995329,1.0,1,True,ADVANCE,5,1067.381626734864,3.5404141616566465
BR-06,56,1,39,1,39,3,5,0.005999987479299307,1.0,1,True,ADVANCE,5,1000.0,3.6072144288577155
BR-06,57,1,38,1,38,3,5,0.004999979864805937,1.0,1,True,ADVANCE,8,1000.0,3.674014696058784
BR-06,58,1,37,1,37,3,4,0.004399975296109915,1.0,1,True,ADVANCE,11,1470.4832921313127,3.740814963259853
BR-06,59,1,36,1,36,3,5,0.011800031643360853,1.0,1,True,ADVANCE,9,1441.9177913467624,3.807615230460922
BR-06,60,1,35,1,35,3,5,0.005499983672052622,1.0,1,True,ADVANCE,6,1011.7436284570214,3.8744154976619907
BR-06,61,1,34,1,34,3,5,0.006699992809444666,1.0,1,True,ADVANCE,10,1018.3156388887342,3.9412157648630597
BR-06,62,1,33,1,33,3,5,0.00589998671784997,1.0,1,True,ADVANCE,8,1000.0,4.008016032064128
BR-06,63,1,32,1,32,3,5,0.004499976057559252,1.0,1,True,ADVANCE,8,1022.8734649112389,4.074816299265197
BR-06,64,1,31,1,31,3,5,0.004800036549568176,1.0,1,True,ADVANCE,9,1000.0,4.141616566466266
BR-06,65,1,30,1,30,3,5,0.004599976819008589,1.0,1,True,ADVANCE,7,1282.360776859909,4.208416833667335
BR-06,66,1,30,1,29,1,1,0.004199973773211241,-1.0,0,False,WAIT,8,1641.1803884299545,4.208416833667335
BR-06,67,1,29,1,29,3,5,0.009599956683814526,1.0,1,True,ADVANCE,13,1800.7374029168082,4.275217100868404
BR-06,68,1,28,1,28,3,5,0.005599984433501959,1.0,1,True,ADVANCE,9,1800.7374029168082,4.342017368069472
BR-06,69,1,27,1,27,3,5,0.004699977580457926,1.0,1,True,ADVANCE,12,1641.1803884299545,4.408817635270541
BR-06,70,1,26,1,26,3,5,0.005999987479299307,1.0,1,True,ADVANCE,5,1129.9303907247136,4.47561790247161
BR-06,71,1,25,1,25,3,5,0.005099980626255274,1.0,1,True,ADVANCE,8,1000.0,4.542418169672679
BR-06,72,1,24,1,24,3,5,0.004299974534660578,1.0,1,True,ADVANCE,11,1129.9303907247136,4.609218436873747
BR-06,73,1,23,1,23,3,5,0.008699949830770493,1.0,1,True,ADVANCE,5,1000.0,4.676018704074816
BR-06,74,1,22,1,22,3,5,0.007099995855242014,1.0,1,True,ADVANCE,7,1018.3156388887342,4.742818971275885
BR-06,75,1,21,1,21,3,5,0.005799985956400633,1.0,1,True,ADVANCE,4,1000.0,4.809619238476954
BR-06,76,1,20,1,20,3,5,0.018899969290941954,1.0,1,True,ADVANCE,8,1709.8428290555119,4.876419505678023
BR-06,77,1,19,1,19,3,5,0.008400005754083395,1.0,1,True,ADVANCE,11,1129.9303907247136,4.943219772879091
BR-06,78,1,18,1,18,3,5,0.005599984433501959,1.0,1,True,ADVANCE,7,1441.9177913467624,5.01002004008016
BR-06,79,1,17,1,17,3,5,0.006599992047995329,1.0,1,True,ADVANCE,9,1641.1803884299545,5.076820307281229
BR-06,80,1,16,1,16,3,5,0.006399990525096655,1.0,1,True,ADVANCE,10,1238.2984139466093,5.143620574482298
BR-06,81,1,16,1,15,1,1,0.001500011421740055,-1.0,0,False,WAIT,12,1129.9303907247136,5.143620574482298
BR-06,82,1,15,1,15,3,5,0.012999982573091984,1.0,1,True,ADVANCE,8,1000.0,5.210420841683367
BR-06,83,2,15,2,15,4,5,0.013499986380338669,1.0,1,True,ADVANCE,8,1230.1653323127296,5.277221108884436
BR-06,84,2,14,2,14,3,5,0.006299989763647318,1.0,1,True,ADVANCE,5,1000.0,5.344021376085505
BR-06,85,3,14,3,14,3,4,0.008499948307871819,1.0,1,True,ADVANCE,9,1055.6379982778428,5.410821643286573
BR-06,86,3,13,3,13,3,4,0.004999979864805937,1.0,1,True,ADVANCE,12,1550.2858145686582,5.477621910487642
BR-06,87,3,12,3,12,2,3,0.003200024366378784,1.0,1,True,ADVANCE,6,1000.0,5.544422177688711
BR-06,88,2,12,2,12,2,4,0.0032999669201672077,1.0,1,True,ADVANCE,7,1000.0,5.61122244488978
BR-06,89,1,12,1,12,2,3,0.0048999791033566,1.0,1,True,ADVANCE,13,1610.9311067528286,5.678022712090848
BR-06,90,1,11,1,11,3,5,0.012200034689158201,1.0,1,True,ADVANCE,11,1000.0,5.744822979291917
BR-06,91,1,10,1,10,3,5,0.005699985194951296,1.0,1,True,ADVANCE,5,1000.0,5.811623246492986
BR-06,92,1,9,1,9,3,5,0.004700035788118839,1.0,1,True,ADVANCE,14,1211.8496934239954,5.878423513694055
BR-06,93,1,9,1,8,1,1,0.0015999539755284786,-1.0,0,False,WAIT,10,1129.9303907247136,5.878423513694055
BR-06,94,1,8,1,8,3,5,0.005699985194951296,1.0,1,True,ADVANCE,14,1497.5557896246055,5.945223780895124
BR-06,95,1,7,1,7,3,5,0.016400008462369442,1.0,1,True,ADVANCE,8,1282.360776859909,6.012024048096192
BR-06,96,1,6,1,6,3,5,0.004699977580457926,1.0,1,True,ADVANCE,9,1441.9177913467624,6.078824315297261
BR-06,97,1,6,1,5,1404,35,1.6479999758303165,-1.0,0,False,WAIT,8,1800.7374029168082,6.078824315297261
BR-06,98,1,5,1,5,3,5,0.005499983672052622,1.0,1,True,ADVANCE,7,1000.0,6.145624582498329
BR-06,99,1,4,1,4,3,5,0.005199981387704611,1.0,1,True,ADVANCE,8,1211.8496934239954,6.212424849699398
BR-06,100,1,3,1,3,3,5,0.005299982149153948,1.0,1,True,ADVANCE,9,1800.7374029168082,6.279225116900468
BR-06,101,1,2,1,2,3,5,0.007100054062902927,1.0,1,True,ADVANCE,5,1000.0,6.346025384101536
BR-06,102,1,2,1,0,1391,27,1.4191000373102725,-1.0,0,False,WAIT,9,1800.7374029168082,6.346025384101536
BR-06,103,0,2,1,0,14,7,0.02069998299703002,4.0,4,True,ADVANCE,12,1441.9177913467624,6.346025384101536
BR-06,104,0,1,1,0,9,5,0.011700030881911516,3.0,3,True,ADVANCE,9,1441.9177913467624,6.346025384101536
BR-06,105,0,0,1,0,5,4,0.007499998901039362,2.0,2,True,ADVANCE,9,1441.9177913467624,6.346025384101536
BR-06,106,1,0,1,0,3,2,0.003500026650726795,1.0,1,True,ADVANCE,11,1129.9303907247136,6.4128256513026045
BR-06,107,2,0,2,0,3,2,0.003400025889277458,1.0,1,True,ADVANCE,6,1129.9303907247136,6.479625918503674
BR-06,108,2,1,2,1,3,3,0.014399993233382702,1.0,1,True,ADVANCE,10,1230.1653323127296,6.5464261857047426
BR-06,109,3,1,3,1,3,3,0.011499971151351929,1.0,1,True,ADVANCE,7,1028.5655007845503,6.613226452905812
BR-06,110,3,0,3,0,3,4,0.011499971151351929,1.0,1,True,ADVANCE,13,1641.1803884299545,6.6800267201068815
BR-06,111,4,0,4,0,4,5,0.009600014891475439,1.0,1,True,ADVANCE,10,1000.0,6.74682698730795
BR-06,112,4,1,4,1,3,4,0.005799985956400633,1.0,1,True,ADVANCE,3,1000.0,6.813627254509018
BR-06,113,4,2,4,2,4,6,0.006299989763647318,1.0,1,True,ADVANCE,6,1000.0,6.880427521710086
BR-06,114,3,2,3,2,2,4,0.005599984433501959,1.0,1,True,ADVANCE,9,1000.0,6.947227788911156
BR-06,115,3,3,3,3,3,5,0.014699995517730713,1.0,1,True,ADVANCE,6,1441.9177913467624,7.014028056112225
BR-06,116,2,3,2,3,2,4,0.0029999646358191967,1.0,1,True,ADVANCE,5,1000.0,7.080828323313293
BR-06,117,2,4,2,4,3,5,0.008999952115118504,1.0,1,True,ADVANCE,6,1011.7436284570214,7.147628590514363
BR-06,118,2,5,2,5,4,6,0.010899966582655907,1.0,1,True,ADVANCE,4,1000.0,7.214428857715431
BR-06,119,2,6,2,6,4,6,0.008600007276982069,1.0,1,True,ADVANCE,14,1601.474805833616,7.2812291249165
BR-06,120,2,7,2,7,4,6,0.012599979527294636,1.0,1,True,ADVANCE,9,1810.1937038360206,7.348029392117568
BR-06,121,2,8,2,8,4,7,0.00990001717582345,1.0,1,True,ADVANCE,7,1000.0,7.414829659318638
BR-06,122,2,9,2,9,4,7,0.007199996616691351,1.0,1,True,ADVANCE,4,1000.0,7.481629926519706
BR-06,123,2,9,2,10,1423,35,1.6258999821729958,-1.0,0,False,WAIT,6,1000.0,7.481629926519706
BR-06,124,2,10,2,10,4,7,0.01209997572004795,1.0,1,True,ADVANCE,7,1028.5655007845503,7.548430193720774
BR-06,125,2,11,2,11,4,7,0.00890000956133008,1.0,1,True,ADVANCE,14,2028.5655007845503,7.615230460921844
BR-06,126,3,11,3,11,5,7,0.008500006515532732,1.0,1,True,ADVANCE,7,1022.8734649112389,7.682030728122912
BR-06,127,3,11,3,10,1,1,0.001300009898841381,-1.0,0,False,WAIT,5,1000.0,7.682030728122912
BR-06,128,3,10,3,10,3,6,0.005500041879713535,1.0,1,True,ADVANCE,7,1055.6379982778428,7.748830995323981
BR-06,129,3,9,3,9,3,6,0.004799978341907263,1.0,1,True,ADVANCE,9,1129.9303907247136,7.8156312625250495
BR-06,130,3,8,3,8,3,6,0.010299962013959885,1.0,1,True,ADVANCE,17,1441.9177913467624,7.882431529726119
BR-06,131,3,7,3,7,3,6,0.007399998139590025,1.0,1,True,ADVANCE,6,1441.9177913467624,7.9492317969271875
BR-06,132,3,6,3,6,3,6,0.00700005330145359,1.0,1,True,ADVANCE,5,1000.0,8.016032064128256
BR-06,133,4,6,4,6,4,6,0.00790000194683671,1.0,1,True,ADVANCE,9,1641.1803884299545,8.082832331329326
BR-06,134,4,5,4,5,3,5,0.007599999662488699,1.0,1,True,ADVANCE,9,1823.610867828047,8.149632598530394
BR-06,135,4,4,4,4,2,3,0.00300002284348011,1.0,1,True,ADVANCE,9,1800.7374029168082,8.216432865731463
BR-06,136,3,4,3,4,2,4,0.003600027412176132,1.0,1,True,ADVANCE,5,1000.0,8.283233132932532
BR-06,137,3,3,4,3,9,9,0.02370000584051013,2.0,2,True,ADVANCE,10,1000.0,8.283233132932532
BR-06,138,4,3,4,3,5,6,0.014899997040629387,1.0,1,True,ADVANCE,5,1000.0,8.3500334001336
BR-06,139,5,3,5,3,5,8,0.014199991710484028,1.0,1,True,ADVANCE,10,1000.0,8.41683366733467
BR-06,140,5,2,5,2,3,6,0.005199981387704611,1.0,1,True,ADVANCE,5,1000.0,8.483633934535737
BR-06,141,5,2,5,1,1,1,0.001600012183189392,-1.0,0,False,WAIT,16,1601.474805833616,8.483633934535737
BR-06,142,5,1,5,1,3,6,0.013300043065100908,1.0,1,True,ADVANCE,15,1800.7374029168082,8.550434201736808
