scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,40,0,38,0,38,2,2,0.05859998054802418,1.0,1,True,ADVANCE,11,1800.7374029168082,2.6052104208416833,True,761,0.0
BR-06,41,0,39,0,39,2,2,0.05929998587816954,1.0,1,True,ADVANCE,7,1000.0,2.6720106880427523,True,836,0.0
BR-06,42,0,40,0,40,2,2,0.05670002428814769,1.0,1,True,ADVANCE,10,1641.1803884299545,2.738810955243821,True,790,0.0
BR-06,43,0,41,0,41,2,2,0.06019999273121357,1.0,1,True,ADVANCE,8,1601.474805833616,2.80561122244489,True,788,0.0
BR-06,44,0,42,0,42,2,2,0.05779997445642948,1.0,1,True,ADVANCE,5,1441.9177913467624,2.8724114896459585,True,562,0.0
BR-06,45,0,43,0,43,2,2,0.05460000829771161,1.0,1,True,ADVANCE,7,1000.0,2.9392117568470275,True,665,0.0
BR-06,46,0,44,0,44,2,2,0.055800017435103655,1.0,1,True,ADVANCE,8,1441.9177913467624,3.006012024048096,True,706,0.0
BR-06,47,0,45,0,45,2,2,0.06689998554065824,1.0,1,True,ADVANCE,3,1000.0,3.0728122912491647,True,500,0.0
BR-06,48,0,46,0,46,2,2,0.05660002352669835,1.0,1,True,ADVANCE,6,1441.9177913467624,3.139612558450234,True,410,0.0
BR-06,49,0,45,1,45,4,5,0.08450000314041972,2.0,2,True,ADVANCE,7,1800.7374029168082,3.139612558450234,True,667,0.0
BR-06,50,1,45,1,45,0,6,14.328100020065904,1.0,1,True,ADVANCE,9,1022.8734649112389,3.2064128256513023,True,801,1.0
BR-06,51,1,44,1,44,2,3,0.1894999877549708,1.0,1,True,ADVANCE,8,1000.0,3.2732130928523713,True,883,0.0
BR-06,52,1,43,1,43,2,3,0.0659999786876142,1.0,1,True,ADVANCE,6,1000.0,3.3400133600534407,True,714,0.0
BR-06,53,1,42,1,42,2,3,0.06680004298686981,1.0,1,True,ADVANCE,5,1055.6379982778428,3.406813627254509,True,572,0.0
BR-06,54,1,41,1,41,2,3,0.0667999847792089,1.0,1,True,ADVANCE,10,1138.76403372894,3.473613894455578,True,709,0.0
BR-06,55,1,40,1,40,2,3,0.06350001785904169,1.0,1,True,ADVANCE,5,1067.381626734864,3.5404141616566465,True,659,0.0
BR-06,56,1,39,1,39,2,3,0.06370001938194036,1.0,1,True,ADVANCE,5,1000.0,3.6072144288577155,True,485,0.0
BR-06,57,1,38,1,38,2,3,0.06580003537237644,1.0,1,True,ADVANCE,8,1000.0,3.674014696058784,True,622,0.0
BR-06,58,1,37,1,37,2,3,0.06700004450976849,1.0,1,True,ADVANCE,11,1470.4832921313127,3.740814963259853,True,829,0.0
BR-06,59,1,36,1,36,2,3,0.06449996726587415,1.0,1,True,ADVANCE,9,1441.9177913467624,3.807615230460922,True,735,0.0
BR-06,60,1,35,1,35,2,3,0.06319995736703277,1.0,1,True,ADVANCE,6,1011.7436284570214,3.8744154976619907,True,638,0.0
BR-06,61,1,34,1,34,2,3,0.06339995888993144,1.0,1,True,ADVANCE,10,1018.3156388887342,3.9412157648630597,True,741,0.0
BR-06,62,1,33,1,33,2,3,0.061400001868605614,1.0,1,True,ADVANCE,8,1000.0,4.008016032064128,True,898,0.0
BR-06,63,1,32,1,32,2,3,0.06309995660558343,1.0,1,True,ADVANCE,8,1022.8734649112389,4.074816299265197,True,709,0.0
BR-06,64,1,31,1,31,2,3,0.06160000339150429,1.0,1,True,ADVANCE,9,1000.0,4.141616566466266,True,747,0.0
BR-06,65,1,30,1,30,2,3,0.06450002547353506,1.0,1,True,ADVANCE,7,1282.360776859909,4.208416833667335,True,678,0.0
BR-06,66,1,30,1,29,1,1,0.04740001168102026,-1.0,0,False,WAIT,8,1641.1803884299545,4.208416833667335,True,771,0.0
BR-06,67,1,29,1,29,1,4,15.888099966105074,1.0,1,True,ADVANCE,13,1800.7374029168082,4.275217100868404,True,881,0.0
BR-06,68,1,28,1,28,2,3,0.1762000028975308,1.0,1,True,ADVANCE,9,1800.7374029168082,4.342017368069472,True,975,0.0
BR-06,69,1,27,1,27,2,3,0.07509998977184296,1.0,1,True,ADVANCE,12,1641.1803884299545,4.408817635270541,True,915,0.0
BR-06,70,1,26,1,26,2,3,0.06569997640326619,1.0,1,True,ADVANCE,5,1129.9303907247136,4.47561790247161,True,741,0.0
BR-06,71,1,25,1,25,2,3,0.06480002775788307,1.0,1,True,ADVANCE,8,1000.0,4.542418169672679,True,734,0.0
BR-06,72,1,24,1,24,2,3,0.06290001329034567,1.0,1,True,ADVANCE,11,1129.9303907247136,4.609218436873747,True,929,0.0
BR-06,73,1,23,1,23,2,3,0.06210000719875097,1.0,1,True,ADVANCE,5,1000.0,4.676018704074816,True,734,0.0
BR-06,74,1,22,1,22,2,3,0.06350001785904169,1.0,1,True,ADVANCE,7,1018.3156388887342,4.742818971275885,True,650,0.0
BR-06,75,1,21,1,21,2,3,0.06220000796020031,1.0,1,True,ADVANCE,4,1000.0,4.809619238476954,True,536,0.0
