scenario,n_frames,total_steps,coverage_percent,coverage_per_step,advance_rate,avg_time_ms,success_rate,wait_count,corridors_blocked,goal_oscillation_count,fallback_used,fallback_success
BR-06,400,388,24.98329993319973,0.06438994828144261,97.0,0.0234245001047384,97.0,12,16,9,25,13
CN-01,99,94,5.041551246537397,0.053633523899334005,94.94949494949495,0.02212020347478113,94.94949494949495,5,12,2,15,10
