scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage,is_in_corridor,fallback_triggered
BR-06,47,0,27,0,27,0.0,3.0,0,1,0.018099963199347258,True,ADVANCE,3,1000.0,3.0728122912491647,False,False
BR-06,48,0,28,0,28,0.0,3.0,0,1,0.018499966245144606,True,ADVANCE,6,1441.9177913467624,3.139612558450234,False,False
BR-06,49,0,29,0,29,0.0,3.0,0,1,0.018400023691356182,True,ADVANCE,7,1800.7374029168082,3.2064128256513023,False,False
BR-06,50,0,28,0,30,0.0,3.0,0,-1,0.033699965570122004,True,ADVANCE,9,1022.8734649112389,3.2064128256513023,True,True
BR-06,51,1,28,1,28,3.0,0.0,1,0,0.019499973859637976,True,ADVANCE,8,1000.0,3.2732130928523713,False,False
BR-06,52,1,27,1,27,0.0,-3.0,0,-1,0.020099978428333998,True,ADVANCE,6,1000.0,3.3400133600534407,False,False
BR-06,53,1,26,1,26,0.0,-3.0,0,-1,0.018899969290941954,True,ADVANCE,5,1055.6379982778428,3.406813627254509,False,False
BR-06,54,1,26,1,25,0.0,-3.0,0,0,0.02459995448589325,False,WAIT,10,1138.76403372894,3.406813627254509,True,True
BR-06,55,1,25,1,25,0.0,-3.0,0,-1,0.019400031305849552,True,ADVANCE,5,1067.381626734864,3.473613894455578,False,False
BR-06,56,1,24,1,24,0.0,-3.0,0,-1,0.01869996776804328,True,ADVANCE,5,1000.0,3.5404141616566465,False,False
BR-06,57,1,23,1,23,0.0,-3.0,0,-1,0.018600025214254856,True,ADVANCE,8,1000.0,3.6072144288577155,False,False
BR-06,58,1,22,1,22,0.0,-3.0,0,-1,0.02169999061152339,True,ADVANCE,11,1470.4832921313127,3.674014696058784,False,False
BR-06,59,1,21,1,21,0.0,-3.0,0,-1,0.019000028260052204,True,ADVANCE,9,1441.9177913467624,3.740814963259853,False,False
BR-06,60,1,20,1,20,0.0,-3.0,0,-1,0.019199971575289965,True,ADVANCE,6,1011.7436284570214,3.807615230460922,False,False
BR-06,61,1,19,1,19,0.0,-3.0,0,-1,0.02139998832717538,True,ADVANCE,10,1018.3156388887342,3.8744154976619907,False,False
BR-06,62,1,18,1,18,0.0,-3.0,0,-1,0.019199971575289965,True,ADVANCE,8,1000.0,3.9412157648630597,False,False
BR-06,63,1,17,1,17,0.0,-3.0,0,-1,0.019200029782950878,True,ADVANCE,8,1022.8734649112389,4.008016032064128,False,False
BR-06,64,1,16,1,16,0.0,-3.0,0,-1,0.019000028260052204,True,ADVANCE,9,1000.0,4.074816299265197,False,False
BR-06,65,1,16,1,15,0.0,-3.0,0,0,0.024200009647756815,False,WAIT,7,1282.360776859909,4.074816299265197,True,True
BR-06,66,1,15,1,15,0.0,-3.0,0,-1,0.01939997309818864,True,ADVANCE,8,1641.1803884299545,4.141616566466266,False,False
BR-06,67,2,15,2,15,3.0,0.0,1,0,0.021300045773386955,True,ADVANCE,13,1800.7374029168082,4.208416833667335,False,False
BR-06,68,2,15,2,14,0.0,-3.0,0,0,0.027100031729787588,False,WAIT,9,1800.7374029168082,4.208416833667335,True,True
BR-06,69,2,14,2,14,0.0,-3.0,0,-1,0.02010003663599491,True,ADVANCE,12,1641.1803884299545,4.275217100868404,False,False
BR-06,70,3,14,3,14,3.0,0.0,1,0,0.019599974621087313,True,ADVANCE,5,1129.9303907247136,4.342017368069472,False,False
BR-06,71,3,13,3,13,0.0,-3.0,0,-1,0.02010003663599491,True,ADVANCE,8,1000.0,4.408817635270541,False,False
BR-06,72,3,12,3,12,0.0,-3.0,0,-1,0.019900035113096237,True,ADVANCE,11,1129.9303907247136,4.47561790247161,False,False
BR-06,73,2,12,2,12,-3.0,0.0,-1,0,0.03479997394606471,True,ADVANCE,5,1000.0,4.542418169672679,False,False
BR-06,74,1,12,1,12,-3.0,0.0,-1,0,0.021499989088624716,True,ADVANCE,7,1018.3156388887342,4.609218436873747,False,False
BR-06,75,1,11,1,11,0.0,-3.0,0,-1,0.02039998071268201,True,ADVANCE,4,1000.0,4.676018704074816,False,False
BR-06,76,1,10,1,10,0.0,-3.0,0,-1,0.018799968529492617,True,ADVANCE,8,1709.8428290555119,4.742818971275885,False,False
BR-06,77,1,9,1,9,0.0,-3.0,0,-1,0.01869996776804328,True,ADVANCE,11,1129.9303907247136,4.809619238476954,False,False
BR-06,78,1,8,1,8,0.0,-3.0,0,-1,0.01869996776804328,True,ADVANCE,7,1441.9177913467624,4.876419505678023,False,False
BR-06,79,1,7,1,7,0.0,-3.0,0,-1,0.019700033590197563,True,ADVANCE,9,1641.1803884299545,4.943219772879091,False,False
BR-06,80,1,6,1,6,0.0,-3.0,0,-1,0.020099978428333998,True,ADVANCE,10,1238.2984139466093,5.01002004008016,False,False
BR-06,81,2,6,2,6,3.0,0.0,1,0,0.018700025975704193,True,ADVANCE,12,1129.9303907247136,5.076820307281229,False,False
BR-06,82,2,7,2,7,0.0,3.0,0,1,0.020499981474131346,True,ADVANCE,8,1000.0,5.143620574482298,False,False
BR-06,83,2,8,2,8,0.0,3.0,0,1,0.019600032828748226,True,ADVANCE,8,1230.1653323127296,5.210420841683367,False,False
BR-06,84,2,9,2,9,0.0,3.0,0,1,0.02050003968179226,True,ADVANCE,5,1000.0,5.277221108884436,False,False
BR-06,85,2,10,2,10,0.0,3.0,0,1,0.026600027922540903,True,ADVANCE,9,1055.6379982778428,5.344021376085505,False,False
BR-06,86,2,11,2,11,0.0,3.0,0,1,0.020899984519928694,True,ADVANCE,12,1550.2858145686582,5.410821643286573,False,False
BR-06,87,3,11,3,11,3.0,0.0,1,0,0.0198000343516469,True,ADVANCE,6,1000.0,5.477621910487642,False,False
BR-06,88,3,10,3,10,0.0,-3.0,0,-1,0.019600032828748226,True,ADVANCE,7,1000.0,5.544422177688711,False,False
BR-06,89,3,9,3,9,0.0,-3.0,0,-1,0.020899984519928694,True,ADVANCE,13,1610.9311067528286,5.61122244488978,False,False
BR-06,90,3,8,3,8,0.0,-3.0,0,-1,0.020300038158893585,True,ADVANCE,11,1000.0,5.678022712090848,False,False
